dataset,model,fold,subject,cheat_thr
MASS-SS2-E2SS,v2_time,3,10,0.40
MASS-SS2-E2SS,v2_time,3,14,0.68
MASS-SS2-E2SS,v2_time,4,1,0.36
MASS-SS2-E2SS,v2_time,4,7,0.46
MASS-SS2-E2SS,v2_time,4,17,0.52
MASS-SS2-E2SS,v2_time,5,5,0.60
MASS-SS2-E2SS,v2_time,5,9,0.56
MASS-SS2-E2SS,v2_time,5,10,0.48
MASS-SS2-E2SS,v2_time,6,3,0.40
MASS-SS2-E2SS,v2_time,6,6,0.40
MASS-SS2-E2SS,v2_time,6,13,0.58
MASS-SS2-E2SS,v2_time,7,1,0.32
MASS-SS2-E2SS,v2_time,7,2,0.44
MASS-SS2-E2SS,v2_time,7,18,0.84
MASS-SS2-E2SS,v2_time,8,11,0.70
MASS-SS2-E2SS,v2_time,8,12,0.48
MASS-SS2-E2SS,v2_time,8,19,0.66
MASS-SS2-E2SS,v2_time,9,7,0.38
MASS-SS2-E2SS,v2_time,9,14,0.68
MASS-SS2-E2SS,v2_time,9,17,0.58
MASS-SS2-E2SS,v2_time,10,6,0.50
MASS-SS2-E2SS,v2_time,10,7,0.40
MASS-SS2-E2SS,v2_time,10,14,0.64
MASS-SS2-E2SS,v2_time,11,1,0.38
MASS-SS2-E2SS,v2_time,11,5,0.54
MASS-SS2-E2SS,v2_time,11,12,0.66
MASS-SS2-E2SS,v2_time,12,2,0.60
MASS-SS2-E2SS,v2_time,12,10,0.46
MASS-SS2-E2SS,v2_time,12,13,0.54
MASS-SS2-E2SS,v2_time,13,3,0.44
MASS-SS2-E2SS,v2_time,13,9,0.42
MASS-SS2-E2SS,v2_time,13,17,0.50
MASS-SS2-E2SS,v2_time,14,11,0.76
MASS-SS2-E2SS,v2_time,14,18,0.82
MASS-SS2-E2SS,v2_time,14,19,0.66
MASS-SS2-E2SS,v2_cwt1d,0,2,0.56
MASS-SS2-E2SS,v2_cwt1d,0,9,0.52
MASS-SS2-E2SS,v2_cwt1d,0,11,0.66
MASS-SS2-E2SS,v2_cwt1d,1,6,0.40
MASS-SS2-E2SS,v2_cwt1d,1,12,0.62
MASS-SS2-E2SS,v2_cwt1d,1,19,0.58
MASS-SS2-E2SS,v2_cwt1d,2,3,0.40
MASS-SS2-E2SS,v2_cwt1d,2,13,0.60
MASS-SS2-E2SS,v2_cwt1d,2,18,0.82
MASS-SS2-E2SS,v2_cwt1d,3,5,0.56
MASS-SS2-E2SS,v2_cwt1d,3,10,0.48
MASS-SS2-E2SS,v2_cwt1d,3,14,0.76
MASS-SS2-E2SS,v2_cwt1d,4,1,0.38
MASS-SS2-E2SS,v2_cwt1d,4,7,0.44
MASS-SS2-E2SS,v2_cwt1d,4,17,0.52
MASS-SS2-E2SS,v2_cwt1d,5,5,0.52
MASS-SS2-E2SS,v2_cwt1d,5,9,0.48
MASS-SS2-E2SS,v2_cwt1d,5,10,0.44
MASS-SS2-E2SS,v2_cwt1d,6,3,0.56
MASS-SS2-E2SS,v2_cwt1d,6,6,0.38
MASS-SS2-E2SS,v2_cwt1d,6,13,0.62
