0.000000000000000000e+00,7.476744186046512253e-01
1.000000000000000056e-01,7.453488372093024505e-01
2.000000000000000111e-01,7.453488372093023395e-01
2.999999999999999889e-01,7.418604651162790109e-01
4.000000000000000222e-01,7.360465116279069075e-01
5.000000000000000000e-01,7.186046511627908195e-01
5.999999999999999778e-01,6.872093023255814170e-01
6.999999999999999556e-01,6.279069767441860517e-01
8.000000000000000444e-01,4.872093023255814614e-01
9.000000000000000222e-01,2.744186046511627453e-01
