0.000000000000000000e+00,5.697674418604614655e-02
1.000000000000000056e-01,5.813953488372047840e-02
2.000000000000000111e-01,5.813953488372058942e-02
2.999999999999999889e-01,5.930232558139503229e-02
4.000000000000000222e-01,5.697674418604625757e-02
5.000000000000000000e-01,5.465116279069726080e-02
5.999999999999999778e-01,5.930232558139492127e-02
6.999999999999999556e-01,7.093023255813912797e-02
8.000000000000000444e-01,8.139534883720878078e-02
9.000000000000000222e-01,9.767441860465364556e-02
